product_id,product_name,category,sub_category,total_transactions,quantity_sold,total_revenue,total_profit,average_discount,profit_margin
FUR-BAR-10004561,"Barricks Wood Table, Fully Assembled",Furniture,Tables,1,1,518.00,67.38,0.00,13.01
FUR-BAR-10004682,"Barricks Round Table, Fully Assembled",Furniture,Tables,1,4,2012.00,925.44,0.00,46.00
FUR-BEV-10000326,"Bevis Wood Table, Rectangular",Furniture,Tables,1,1,531.00,90.30,0.00,17.01
FUR-BEV-10000388,"Bevis Coffee Table, Rectangular",Furniture,Tables,1,1,316.00,129.45,0.00,40.97
FUR-BEV-10001048,"Bevis Conference Table, with Bottom Storage",Furniture,Tables,1,1,924.00,249.39,0.00,26.99
FUR-BEV-10001217,"Bevis Wood Table, Fully Assembled",Furniture,Tables,1,2,1070.00,321.00,0.00,30.00
FUR-BEV-10001853,"Bevis Computer Table, Adjustable Height",Furniture,Tables,1,2,984.00,344.46,0.00,35.01
FUR-BEV-10002193,"Bevis Round Table, Adjustable Height",Furniture,Tables,1,6,1249.00,-1779.77,1.00,-142.50
FUR-BEV-10002369,"Bevis Training Table, Fully Assembled",Furniture,Tables,2,7,942.00,-1107.12,0.50,-117.53
FUR-BEV-10002803,"Bevis Conference Table, Fully Assembled",Furniture,Tables,1,1,925.00,305.31,0.00,33.01
FUR-BEV-10003414,"Bevis Computer Table, Fully Assembled",Furniture,Tables,2,2,694.00,178.51,0.50,25.72
FUR-BEV-10004805,"Bevis Conference Table, Rectangular",Furniture,Tables,1,2,1843.00,884.46,0.00,47.99
FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",Furniture,Tables,2,5,2668.00,853.65,0.00,32.00
FUR-BO-10000002,"Bush Classic Bookcase, Mobile",Furniture,Bookcases,4,11,4443.00,103.80,0.00,2.34
FUR-BO-10000008,"Sauder Library with Doors, Traditional",Furniture,Bookcases,1,2,465.00,-255.86,0.00,-55.02
FUR-BO-10000021,"Dania Corner Shelving, Metal",Furniture,Bookcases,1,2,243.00,102.06,0.00,42.00
FUR-BO-10000022,"Dania Floating Shelf Set, Traditional",Furniture,Bookcases,3,14,2201.00,44.00,0.00,2.00
FUR-BO-10000034,"Safco Classic Bookcase, Pine",Furniture,Bookcases,3,5,1451.00,-659.25,0.00,-45.43
FUR-BO-10000035,"Dania Classic Bookcase, Pine",Furniture,Bookcases,5,21,8308.00,3288.29,0.00,39.58
FUR-BO-10000038,"Bush Library with Doors, Pine",Furniture,Bookcases,4,18,2633.00,-1667.74,0.25,-63.34
FUR-BO-10000071,"Safco 3-Shelf Cabinet, Metal",Furniture,Bookcases,8,22,3046.00,1083.40,0.00,35.57
FUR-BO-10000087,"Dania Classic Bookcase, Mobile",Furniture,Bookcases,3,8,3153.00,12.21,0.00,0.39
FUR-BO-10000087,"Sauder Corner Shelving, Pine",Furniture,Bookcases,7,26,2079.00,71.30,0.00,3.43
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,1,9,825.00,-117.88,0.00,-14.29
FUR-BO-10000112,"Dania Corner Shelving, Pine",Furniture,Bookcases,5,15,1569.00,235.31,0.00,15.00
FUR-BO-10000120,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases,2,10,1262.00,220.15,0.00,17.44
FUR-BO-10000148,"Bush 3-Shelf Cabinet, Metal",Furniture,Bookcases,4,11,818.00,-228.52,0.00,-27.94
FUR-BO-10000155,"Dania Corner Shelving, Metal",Furniture,Bookcases,4,20,1799.00,509.84,0.00,28.34
FUR-BO-10000160,"Safco Library with Doors, Pine",Furniture,Bookcases,1,2,704.00,312.91,0.00,44.45
FUR-BO-10000170,"Safco Library with Doors, Mobile",Furniture,Bookcases,2,14,4943.00,-274.98,0.00,-5.56
FUR-BO-10000175,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,5,17,1933.00,440.54,0.00,22.79
FUR-BO-10000184,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,1,3,158.00,-145.86,1.00,-92.32
FUR-BO-10000195,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,3,12,1179.00,270.41,0.00,22.94
FUR-BO-10000203,"Sauder Library with Doors, Metal",Furniture,Bookcases,6,19,6875.00,2608.84,0.00,37.95
FUR-BO-10000208,"Bush Stackable Bookrack, Mobile",Furniture,Bookcases,5,33,3891.00,955.21,0.00,24.55
FUR-BO-10000210,"Ikea Library with Doors, Pine",Furniture,Bookcases,8,26,8797.00,2158.94,0.00,24.54
FUR-BO-10000214,"Ikea Library with Doors, Pine",Furniture,Bookcases,1,3,292.00,-393.95,1.00,-134.91
FUR-BO-10000243,"Safco Floating Shelf Set, Pine",Furniture,Bookcases,4,28,4691.00,585.70,0.00,12.49
FUR-BO-10000259,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,6,21,7666.00,858.59,0.00,11.20
FUR-BO-10000265,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,5,14,2365.00,697.08,0.00,29.47
FUR-BO-10000268,"Bush Library with Doors, Pine",Furniture,Bookcases,2,4,878.00,-424.28,0.00,-48.32
FUR-BO-10000268,"Ikea 3-Shelf Cabinet, Traditional",Furniture,Bookcases,2,7,627.00,154.66,0.00,24.67
FUR-BO-10000269,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,5,13,893.00,194.20,0.00,21.75
FUR-BO-10000279,"Dania Classic Bookcase, Pine",Furniture,Bookcases,5,20,6222.00,535.47,0.00,8.61
FUR-BO-10000288,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,5,20,8368.00,-131.54,0.00,-1.57
FUR-BO-10000311,"Safco Floating Shelf Set, Metal",Furniture,Bookcases,2,7,1236.00,274.68,0.00,22.22
FUR-BO-10000321,"Dania Floating Shelf Set, Mobile",Furniture,Bookcases,2,10,894.00,-189.28,0.50,-21.17
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,3,10,1064.00,24.19,0.00,2.27
FUR-BO-10000362,"Sauder Inglewood Library Bookcases",Furniture,Bookcases,5,14,2155.00,311.18,0.00,14.44
FUR-BO-10000378,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,4,15,1288.00,46.00,0.00,3.57
FUR-BO-10000402,"Sauder Stackable Bookrack, Traditional",Furniture,Bookcases,2,6,834.00,87.70,0.00,10.52
FUR-BO-10000411,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,4,24,2820.00,1081.01,0.00,38.33
FUR-BO-10000425,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,2,8,960.00,-41.21,0.00,-4.29
FUR-BO-10000468,"O'Sullivan 2-Shelf Heavy-Duty Bookcases",Furniture,Bookcases,6,21,724.00,-133.11,0.17,-18.39
FUR-BO-10000490,"Bush Library with Doors, Metal",Furniture,Bookcases,4,23,7785.00,672.37,0.00,8.64
FUR-BO-10000502,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,6,20,5438.00,525.93,0.00,9.67
FUR-BO-10000514,"Bush Library with Doors, Traditional",Furniture,Bookcases,3,11,2587.00,-1220.53,0.00,-47.18
FUR-BO-10000517,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,1,8,260.00,-358.05,1.00,-137.71
FUR-BO-10000533,"Dania Corner Shelving, Pine",Furniture,Bookcases,1,4,494.00,54.24,0.00,10.98
FUR-BO-10000567,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,8,43,10640.00,889.18,0.00,8.36
FUR-BO-10000596,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,6,24,9034.00,3244.51,0.00,35.91
FUR-BO-10000610,"Ikea Stackable Bookrack, Mobile",Furniture,Bookcases,4,13,1377.00,547.83,0.00,39.78
FUR-BO-10000616,"Dania Corner Shelving, Pine",Furniture,Bookcases,1,6,444.00,-89.03,0.00,-20.05
FUR-BO-10000623,"Safco Library with Doors, Metal",Furniture,Bookcases,1,2,311.00,-373.68,1.00,-120.15
FUR-BO-10000624,"Safco Classic Bookcase, Metal",Furniture,Bookcases,7,26,6300.00,-70.49,0.00,-1.12
FUR-BO-10000636,"Dania Floating Shelf Set, Metal",Furniture,Bookcases,5,18,1688.00,492.90,0.00,29.20
FUR-BO-10000655,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,1,3,1109.00,86.20,0.00,7.77
FUR-BO-10000666,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,2,9,1305.00,182.52,0.00,13.99
FUR-BO-10000668,"Ikea Corner Shelving, Traditional",Furniture,Bookcases,1,2,246.00,66.42,0.00,27.00
FUR-BO-10000668,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,3,8,3131.00,43.84,0.00,1.40
FUR-BO-10000670,"Dania Corner Shelving, Metal",Furniture,Bookcases,5,30,3063.00,947.56,0.00,30.94
FUR-BO-10000676,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,3,16,1361.00,-554.56,0.00,-40.75
FUR-BO-10000684,"Sauder Corner Shelving, Traditional",Furniture,Bookcases,5,16,2108.00,-85.77,0.00,-4.07
FUR-BO-10000699,"Sauder 3-Shelf Cabinet, Traditional",Furniture,Bookcases,6,24,3799.00,238.24,0.00,6.27
FUR-BO-10000700,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,1,2,233.00,-97.03,0.00,-41.64
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,2,12,852.00,229.97,0.00,26.99
FUR-BO-10000712,"Bush Corner Shelving, Pine",Furniture,Bookcases,1,2,251.00,112.80,0.00,44.94
FUR-BO-10000728,"Dania Corner Shelving, Traditional",Furniture,Bookcases,6,28,3367.00,1112.89,0.00,33.05
FUR-BO-10000728,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,7,28,7015.00,982.65,0.00,14.01
FUR-BO-10000734,"Bush Corner Shelving, Pine",Furniture,Bookcases,7,20,1255.00,183.78,0.00,14.64
FUR-BO-10000746,"Ikea Corner Shelving, Mobile",Furniture,Bookcases,5,17,1323.00,511.20,0.00,38.64
FUR-BO-10000780,"O'Sullivan Plantations 2-Door Library in Landvery Oak",Furniture,Bookcases,5,22,2947.00,-767.75,0.00,-26.05
FUR-BO-10000786,"Sauder Stackable Bookrack, Pine",Furniture,Bookcases,4,23,3304.00,1123.10,0.00,33.99
FUR-BO-10000791,"Dania Library with Doors, Traditional",Furniture,Bookcases,1,5,483.00,-579.90,1.00,-120.06
FUR-BO-10000797,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,3,7,1072.00,71.33,0.00,6.65
FUR-BO-10000807,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,1,4,473.00,-23.76,0.00,-5.02
FUR-BO-10000820,"Sauder 3-Shelf Cabinet, Metal",Furniture,Bookcases,1,4,598.00,166.10,0.00,27.78
FUR-BO-10000847,"Dania Stackable Bookrack, Mobile",Furniture,Bookcases,5,19,2007.00,712.32,0.00,35.49
FUR-BO-10000883,"Dania Corner Shelving, Mobile",Furniture,Bookcases,2,8,950.00,-36.26,0.00,-3.82
FUR-BO-10000889,"Safco 3-Shelf Cabinet, Mobile",Furniture,Bookcases,1,2,206.00,-85.73,0.00,-41.62
FUR-BO-10000891,"Ikea Classic Bookcase, Pine",Furniture,Bookcases,4,18,3469.00,-396.72,0.25,-11.44
FUR-BO-10000892,"Bush Corner Shelving, Mobile",Furniture,Bookcases,1,6,759.00,15.12,0.00,1.99
FUR-BO-10000895,"Sauder Corner Shelving, Metal",Furniture,Bookcases,4,10,1394.00,352.02,0.00,25.25
FUR-BO-10000895,"Sauder Stackable Bookrack, Pine",Furniture,Bookcases,1,6,582.00,26.77,0.00,4.60
FUR-BO-10000936,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,4,11,1867.00,321.78,0.00,17.24
FUR-BO-10000961,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,5,21,2198.00,519.22,0.00,23.62
FUR-BO-10000967,"Ikea Library with Doors, Pine",Furniture,Bookcases,5,22,6346.00,970.12,0.20,15.29
FUR-BO-10000980,"Bush Library with Doors, Traditional",Furniture,Bookcases,7,15,5290.00,1792.09,0.00,33.88
FUR-BO-10001003,"Dania 3-Shelf Cabinet, Traditional",Furniture,Bookcases,2,11,1556.00,746.79,0.00,47.99
FUR-BO-10001010,"Dania Corner Shelving, Mobile",Furniture,Bookcases,4,20,2267.00,498.14,0.00,21.97
FUR-BO-10001039,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,6,19,5587.00,1137.48,0.17,20.36
FUR-BO-10001042,"Dania 3-Shelf Cabinet, Pine",Furniture,Bookcases,7,25,1960.00,-61.88,0.00,-3.16
FUR-BO-10001067,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,5,16,1033.00,126.25,0.00,12.22
FUR-BO-10001073,"Safco Classic Bookcase, Metal",Furniture,Bookcases,4,18,7246.00,866.18,0.00,11.95
FUR-BO-10001099,"Bush Corner Shelving, Traditional",Furniture,Bookcases,4,15,976.00,32.79,0.00,3.36
FUR-BO-10001133,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,5,16,6298.00,1789.23,0.00,28.41
FUR-BO-10001147,"Bush Floating Shelf Set, Metal",Furniture,Bookcases,6,19,2785.00,383.77,0.00,13.78
FUR-BO-10001155,"Dania 3-Shelf Cabinet, Traditional",Furniture,Bookcases,6,17,2148.00,-112.21,0.00,-5.22
FUR-BO-10001155,"Ikea 3-Shelf Cabinet, Metal",Furniture,Bookcases,3,7,752.00,-82.47,0.00,-10.97
FUR-BO-10001165,"Bush Library with Doors, Mobile",Furniture,Bookcases,4,14,3448.00,-44.42,0.25,-1.29
FUR-BO-10001192,"Bush Library with Doors, Mobile",Furniture,Bookcases,7,18,5576.00,1812.16,0.00,32.50
FUR-BO-10001196,"Bush Library with Doors, Pine",Furniture,Bookcases,4,17,4786.00,61.98,0.00,1.30
FUR-BO-10001201,"Bush Stackable Bookrack, Mobile",Furniture,Bookcases,6,25,1811.00,637.98,0.00,35.23
FUR-BO-10001212,"Safco Classic Bookcase, Mobile",Furniture,Bookcases,7,24,9187.00,-225.31,0.00,-2.45
FUR-BO-10001216,"Sauder 3-Shelf Cabinet, Mobile",Furniture,Bookcases,5,24,3481.00,1043.96,0.00,29.99
FUR-BO-10001233,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,2,9,754.00,-368.33,0.50,-48.85
FUR-BO-10001254,"Dania 3-Shelf Cabinet, Mobile",Furniture,Bookcases,1,2,288.00,0.00,0.00,0.00
FUR-BO-10001255,"Ikea Library with Doors, Mobile",Furniture,Bookcases,4,16,4904.00,-132.01,0.00,-2.69
FUR-BO-10001256,"Ikea Corner Shelving, Pine",Furniture,Bookcases,2,7,821.00,19.75,0.00,2.41
FUR-BO-10001271,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,1,3,350.00,-113.75,1.00,-32.50
FUR-BO-10001276,"Safco Floating Shelf Set, Mobile",Furniture,Bookcases,2,6,318.00,-95.66,1.00,-30.08
FUR-BO-10001287,"Dania Floating Shelf Set, Metal",Furniture,Bookcases,6,14,2245.00,779.80,0.00,34.73
FUR-BO-10001295,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,3,11,1233.00,453.66,0.00,36.79
FUR-BO-10001309,"Ikea Classic Bookcase, Traditional",Furniture,Bookcases,2,3,1236.00,259.38,0.00,20.99
FUR-BO-10001318,"Safco Library with Doors, Mobile",Furniture,Bookcases,1,4,418.00,-188.34,1.00,-45.06
FUR-BO-10001324,"Sauder Floating Shelf Set, Pine",Furniture,Bookcases,3,16,2977.00,564.22,0.00,18.95
FUR-BO-10001326,"Bush 3-Shelf Cabinet, Pine",Furniture,Bookcases,4,10,1447.00,246.00,0.00,17.00
FUR-BO-10001337,"O'Sullivan Living Dimensions 2-Shelf Bookcases",Furniture,Bookcases,10,28,2970.00,-78.64,0.00,-2.65
FUR-BO-10001342,"Safco Corner Shelving, Metal",Furniture,Bookcases,6,17,2346.00,-186.15,0.00,-7.93
FUR-BO-10001356,"Ikea Library with Doors, Mobile",Furniture,Bookcases,9,28,6343.00,877.97,0.00,13.84
FUR-BO-10001358,"Bush 3-Shelf Cabinet, Traditional",Furniture,Bookcases,3,10,688.00,-239.03,0.00,-34.74
FUR-BO-10001362,"Ikea Classic Bookcase, Metal",Furniture,Bookcases,2,4,1315.00,-82.25,0.00,-6.25
FUR-BO-10001369,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases,4,7,666.00,144.78,0.00,21.74
FUR-BO-10001370,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,2,3,1140.00,-17.54,0.00,-1.54
FUR-BO-10001372,"Safco Classic Bookcase, Pine",Furniture,Bookcases,4,21,9099.00,513.90,0.00,5.65
FUR-BO-10001385,"Sauder Corner Shelving, Metal",Furniture,Bookcases,4,18,2053.00,573.57,0.00,27.94
FUR-BO-10001387,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,4,17,2419.00,546.67,0.25,22.60
FUR-BO-10001390,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,4,12,1097.00,301.25,0.00,27.46
FUR-BO-10001392,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,4,10,4055.00,1482.20,0.00,36.55
FUR-BO-10001393,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,6,25,3845.00,57.85,0.00,1.50
FUR-BO-10001405,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,8,38,4482.00,1588.01,0.00,35.43
FUR-BO-10001436,"Bush Corner Shelving, Traditional",Furniture,Bookcases,2,14,1413.00,41.76,0.00,2.96
FUR-BO-10001452,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,1,2,248.00,96.78,0.00,39.02
FUR-BO-10001461,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,4,11,2123.00,1040.75,0.00,49.02
FUR-BO-10001471,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,4,26,10538.00,4650.45,0.00,44.13
FUR-BO-10001476,"Safco Corner Shelving, Pine",Furniture,Bookcases,5,9,805.00,62.18,0.00,7.72
FUR-BO-10001483,"Bush Corner Shelving, Metal",Furniture,Bookcases,9,39,2404.00,-390.02,0.11,-16.22
FUR-BO-10001498,"Dania Classic Bookcase, Pine",Furniture,Bookcases,10,40,9726.00,2801.79,0.10,28.81
FUR-BO-10001501,"Bush Classic Bookcase, Metal",Furniture,Bookcases,9,32,11561.00,4042.76,0.00,34.97
FUR-BO-10001507,"Ikea Library with Doors, Traditional",Furniture,Bookcases,1,2,485.00,58.12,0.00,11.98
FUR-BO-10001519,"O'Sullivan 3-Shelf Heavy-Duty Bookcases",Furniture,Bookcases,5,22,1118.00,147.09,0.00,13.16
FUR-BO-10001524,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,1,5,166.00,-116.62,1.00,-70.25
FUR-BO-10001537,"Ikea Corner Shelving, Metal",Furniture,Bookcases,3,9,1103.00,44.01,0.00,3.99
FUR-BO-10001541,"Bush Stackable Bookrack, Traditional",Furniture,Bookcases,6,28,2937.00,-231.97,0.00,-7.90
FUR-BO-10001553,"Sauder Library with Doors, Traditional",Furniture,Bookcases,4,20,7481.00,-193.94,0.00,-2.59
FUR-BO-10001555,"Bush Corner Shelving, Metal",Furniture,Bookcases,3,10,1235.00,172.80,0.00,13.99
FUR-BO-10001558,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,2,8,953.00,-258.70,0.00,-27.15
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,1,3,91.00,-190.85,1.00,-209.73
FUR-BO-10001580,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,6,31,3535.00,370.66,0.00,10.49
FUR-BO-10001585,"Ikea Floating Shelf Set, Traditional",Furniture,Bookcases,8,22,2067.00,267.63,0.00,12.95
FUR-BO-10001585,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,1,3,591.00,218.70,0.00,37.01
FUR-BO-10001596,"Dania Library with Doors, Mobile",Furniture,Bookcases,4,21,3601.00,-588.96,0.00,-16.36
FUR-BO-10001598,"Bush Corner Shelving, Pine",Furniture,Bookcases,6,24,2919.00,1264.61,0.00,43.32
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,3,10,935.00,-125.74,0.00,-13.45
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,Bookcases,5,30,1570.00,-26.96,0.20,-1.72
FUR-BO-10001619,"O'Sullivan Cherrywood Estates Traditional Bookcase",Furniture,Bookcases,2,6,425.00,27.20,0.00,6.40
FUR-BO-10001621,"Dania Stackable Bookrack, Traditional",Furniture,Bookcases,6,18,2021.00,757.40,0.17,37.48
FUR-BO-10001641,"Bush 3-Shelf Cabinet, Traditional",Furniture,Bookcases,5,15,2139.00,742.36,0.00,34.71
FUR-BO-10001646,"Safco Corner Shelving, Metal",Furniture,Bookcases,6,18,1430.00,321.55,0.00,22.49
FUR-BO-10001646,"Safco Library with Doors, Pine",Furniture,Bookcases,8,25,4745.00,834.34,0.00,17.58
FUR-BO-10001668,"Ikea Floating Shelf Set, Pine",Furniture,Bookcases,8,31,4743.00,-368.28,0.00,-7.76
FUR-BO-10001679,"Ikea 3-Shelf Cabinet, Traditional",Furniture,Bookcases,4,11,1171.00,262.04,0.00,22.38
FUR-BO-10001699,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,1,2,77.00,-61.89,1.00,-80.38
FUR-BO-10001708,"Safco Stackable Bookrack, Pine",Furniture,Bookcases,7,28,3591.00,196.95,0.00,5.48
FUR-BO-10001714,"Dania Floating Shelf Set, Mobile",Furniture,Bookcases,2,9,980.00,-149.75,0.00,-15.28
FUR-BO-10001721,"Bush Corner Shelving, Mobile",Furniture,Bookcases,4,10,776.00,303.53,0.00,39.11
FUR-BO-10001739,"Dania Classic Bookcase, Mobile",Furniture,Bookcases,6,21,5236.00,490.14,0.00,9.36
FUR-BO-10001746,"Dania 3-Shelf Cabinet, Pine",Furniture,Bookcases,1,2,171.00,-17.16,0.00,-10.04
FUR-BO-10001749,"Bush Classic Bookcase, Traditional",Furniture,Bookcases,7,27,10109.00,-363.45,0.00,-3.60
FUR-BO-10001753,"Dania Stackable Bookrack, Traditional",Furniture,Bookcases,9,34,3372.00,1066.05,0.00,31.61
FUR-BO-10001779,"Safco Stackable Bookrack, Pine",Furniture,Bookcases,7,28,2805.00,1150.24,0.00,41.01
FUR-BO-10001781,"Bush Library with Doors, Traditional",Furniture,Bookcases,8,30,5345.00,-48.84,0.25,-0.91
FUR-BO-10001798,"Bush Somerset Collection Bookcase",Furniture,Bookcases,4,12,1264.00,-56.33,0.00,-4.46
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,8,26,5493.00,15.05,0.13,0.27
FUR-BO-10001822,"Dania Library with Doors, Metal",Furniture,Bookcases,5,20,6368.00,-651.86,0.00,-10.24
FUR-BO-10001831,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,4,12,2270.00,500.51,0.00,22.05
FUR-BO-10001834,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,4,14,1899.00,356.32,0.00,18.76
FUR-BO-10001835,"Safco Library with Doors, Traditional",Furniture,Bookcases,1,2,780.00,202.68,0.00,25.98
FUR-BO-10001860,"Sauder Corner Shelving, Traditional",Furniture,Bookcases,5,20,2457.00,569.69,0.00,23.19
